Disease,Description
primary insomnia,"Primary insomnia is a sleep disorder that is characterized by difficulty falling asleep, staying asleep, or both. It can lead to fatigue, irritability, and difficulty concentrating during the day. The exact cause of primary insomnia is not known, but it may be related to stress, anxiety, or other"
kidney cancer,"Kidney Cancer is a type of cancer that develops in the kidneys, which are bean-shaped organs located in the abdomen that filter waste and excess fluid from the blood, producing urine. Symptoms of Kidney Cancer may include blood in the urine, back pain, fatigue"
open wound of the lip,"Open wound of the lip is a common injury that involves a cut or tear in the skin of the lip. It can be caused by a variety of factors, such as biting the lip while eating, accidentally hitting the lip with an object, or getting cut by a sharp edge. Symptoms of an open wound"
orbital cellulitis,"Orbital cellulitis is a serious bacterial infection that affects the tissues surrounding the eye. It can cause redness, swelling, and pain around the eye. In some cases, it can lead to vision loss. The infection is usually caused by bacteria that enter the eye through a cut or injury."
cat scratch disease,"Cat scratch disease is an infection caused by Bartonella henselae, a type of bacterium. It is spread through the saliva and scratch from a cat, and can cause fever, fatigue, and swollen lymph nodes. Most cases of cat scratch disease are mild and resolve on their own,"
graves disease,"Graves' disease, also known as Basedow disease, is an autoimmune disorder that causes hyperthyroidism (overactive thyroid gland). It occurs when the antibodies that stimulate the thyroid to make more hormones attack the thyroid and cause it to produce too much thyroid horm"
fibrocystic breast disease,"Fibrocystic breast disease, also known as fibrocystic breast changes or fibrocystic breast condition, is a common condition that affects women of reproductive age. It is characterized by the presence of multiple cysts and lumpy tissue (fibrosis) in the breasts. The"
yeast infection,"A yeast infection is an infection of the vagina or penis that is caused by an overgrowth of yeast. The most common type of yeast infection in adults is caused by the fungus Candida albicans, which is normally present in small amounts in the vagina and on the skin."
abscess of nose,"Abscess is a collection of pus in a part of the body. It usually occurs when bacteria infect a tissue and cause inflammation. In the nose, an abscess can form near the nasal septum (the wall between the nostrils) or in the sinuses. Nasal ab"
torticollis,"Torticollis, also known as wry neck, is a condition characterized by involuntary and abnormal twisting of the neck to one side. It can occur in people of all ages, but is more common in infants and young children. The cause of torticollis is often unknown,"
temporary or benign blood in urine,"Blood in the urine, also known as hematuria, is a condition in which small amounts of blood are present in the urine. It can be caused by a variety of factors, including urinary tract infections, kidney stones, or certain types of cancer. Symptoms of hemat"
foreign body in the ear,Foreign body in the ear is a common condition that occurs when an object gets stuck in the ear canal. The object can be anything from a piece of food to a small toy or a bead. It can be caused by accidental insertion of an object into the ear or by pushing an object deeper into the ear
human immunodeficiency virus infection (hiv),"HIV (human immunodeficiency virus) is a viral infection that attacks the body's immune system. It weakens the immune system over time, making it harder for the body to fight infections and diseases. HIV can lead to AIDS (acquired immunodeficiency syndrome),"
skin cancer,"Skin cancer is the uncontrolled growth of abnormal cells on or in the skin. The abnormal cells are called malignant. The most common types of skin cancer are basal cell carcinoma, squamous cell carcinoma, and melanoma. Basal cell carcinoma is the"
stroke,"Stroke is a brain disease that occurs when a blood vessel that carries oxygen and nutrients to the brain is either blocked by a clot or bursts. When this happens, part of the brain cannot get the blood and oxygen it needs, and brain cells begin to die. Depending on the part of the"
ganglion cyst,"A ganglion cyst is a fluid-filled sac or lump that forms along a joint or tendon. It is very common and can develop at any age. The cyst may be painful or cause numbness, depending on its size and location. Ganglion cysts are non-"
astigmatism,"Astigmatism is a common eye condition that affects the shape of the cornea, which is the clear front surface of the eye. In a person with astigmatism, the cornea has an irregular curvature, which leads to blurred vision."
pinworm infection,"Pinworm infection, also known as enterobiasis, is a parasitic infection caused by the pinworm, or enterobius vermicularis. Pinworms are small, white, threadlike worms that live in the intestines and lay their eggs around the anus."
diabetic ketoacidosis,"Diabetic ketoacidosis (DKA) is a serious complication of type 1 diabetes. It develops when the body has insufficient levels of insulin. Without insulin, the body cannot use glucose (sugar) for energy, so the body starts to break down fat"
poisoning due to sedatives,"Poisoning due to sedatives, also known as overdose, is a serious condition in which a person has consumed excessive amounts of sedatives, such as barbiturates or benzodiazepines. These drugs are commonly prescribed to help people sleep or relax, but when taken in large amounts"
degenerative disc disease,"Degenerative disc disease is a condition where the spinal discs lose their elasticity and flexibility, leading to back pain and stiffness. The spinal discs are soft, rubbery cushions that act as shock absorbers between the vertebrae in the spine. As we age, these"
trichomonas infection,"Trichomoniasis is a sexually transmitted infection caused by the protozoan parasite Trichomonas vaginalis. It is a common infection in both women and men, and it can cause symptoms such as vaginal discharge, itching, and odor. Trichomoniasis is"
spermatocele,Spermatocele is a benign tumor of the epididymis (tube that transports sperm from the testicle to the vas deferens). It is a painless lump usually found on the upper pole of the testicle. The lump is filled with fluid and may be
anal fistula,"An anal fistula is a tunnel that forms between the skin of the buttocks and the anal canal. It usually develops after an anal abscess, which is an infection in the anal canal. The tunnel can become infected, causing pain and pus to drain through the opening in the skin. Symptoms"
fracture of the leg,"Fractures are common injuries that occur when the bone breaks or cracks. Fractures of the leg can occur in any of the bones that make up the leg, including the femur (thigh bone), tibia (shinbone), or fibula (smaller bone of the lower leg)."
toxoplasmosis,"Toxoplasmosis is a disease caused by infection with the microscopic parasite Toxoplasma gondii. Infection with T. gondii is most commonly transmitted through contact with cat feces. Cats can become infected by eating raw or undercooked meat, particularly l"
poisoning due to opioids,"Poisoning due to opioids is a potentially life-threatening condition that occurs when an individual consumes an excessive amount of opioids, either intentionally or accidentally. Opioids are a class of medications that are used to treat moderate to severe pain, and they can also be misused or"
ascending cholangitis,"Ascending cholangitis is a bacterial infection that affects the bile duct outside the liver. It is caused by the spread of bacteria from the intestines to the liver, and can be a serious and potentially life-threatening condition. Common symptoms of ascending cholangitis include"
chondromalacia of the patella,"Chondromalacia of the patella, also known as runner’s knee, is a condition that causes the cartilage on the underside of the patella (knee cap) to soften and fray. This can lead to pain and discomfort when bending or straightening the knee"
meckel diverticulum,Meckel diverticulum is a pouch-like projection of the intestine that is present in about 2% of people. It is a remnant of a structure called the vitelline duct that is present in the developing fetus. The vitelline duct normally disappears during
seborrheic dermatitis,"Seborrheic dermatitis, also known as seborrheic eczema, is a common skin condition that primarily affects the scalp, face, and other areas of the body with a lot of oil glands. It causes patches of red, inflamed skin that are covered with fl"
alcohol withdrawal,"Alcohol withdrawal is a condition that occurs when a person who is dependent on alcohol suddenly stops drinking or significantly reduces their alcohol intake. Symptoms of alcohol withdrawal can include anxiety, irritability, tremors, insomnia, sweating, nausea, vomiting, and seizures. These symptoms can"
neurofibromatosis,"Neurofibromatosis is a disorder that affects the nervous system, causing tumors to grow on nerves throughout the body. It can also cause bone abnormalities, learning disabilities, and other health problems. The disorder is due to a genetic mutation that affects the way cells grow and divide. Sym"
blepharospasm,"Blepharospasm is a condition that affects the muscles around the eye. Symptoms include involuntary blinking, twitching, and closing of the eyelids. The condition can cause significant frustration and social isolation. It is often treated with botulinum toxin injections, which"
amblyopia,"Amblyopia, or lazy eye, is an eye condition that occurs when the brain and eye don't work together properly. One eye may be slightly different than the other, or the eyes may be different sizes. Amblyopia can occur in one or both eyes."
dislocation of the finger,"Description: A dislocation of the finger is a common injury that occurs when the bones in the finger joint are forced out of their normal position. It can happen when the finger is bent backward too far, causing the bones in the joint to come apart. Other types of dislocations include sprains and strains,"
lymphoma,"Lymphoma is a type of cancer that begins in the white blood cells and is characterized by the uncontrolled growth and multiplication of lymphocytes (white blood cells that help the body fight infection). Lymphocytes are found throughout the body, but in particular, they are found in"
benign prostatic hyperplasia (bph),"Benign prostatic hyperplasia (BPH) is a common condition in men as they age. It occurs when the prostate gland, which surrounds the urethra, becomes enlarged. This can cause urinary problems, such as frequent urination, difficulty starting and emptying the bl"
heart contusion,"Heart contusion is a condition in which the heart muscle is bruised or injured. It can be caused by a blow to the chest or a direct impact on the heart during a traumatic event such as a car accident or fall. Symptoms may include chest pain, shortness of breath, and ir"
gastrointestinal hemorrhage,"Gastrointestinal hemorrhage is a condition in which the gastrointestinal tract (the digestive system) bleeds. Blood loss in the gastrointestinal tract can be extensive and life-threatening, and it can lead to anemia and other serious complications."
glaucoma,"Glaucoma is a group of eye conditions that cause optic nerve damage and vision loss. Usually, open-angle glaucoma occurs when fluid builds up in the front part of your eye causing a gradual increase in eye pressure. Acute angle closure glaucoma occurs when fluid builds up quickly"
mononeuritis,"Mononeuritis is a rare condition in which a nerve in your body becomes inflamed. Symptoms of mononeuritis can include pain, numbness, and weakness in the affected area. The cause of mononeuritis is often unknown, but it is believed to be related to an immune system"
diabetic retinopathy,"Diabetic retinopathy is a complication of diabetes that affects the blood vessels in the retina, the light-sensitive tissue at the back of the eye. It is caused by high blood sugar levels over a long period of time, which can damage the tiny blood vessels in the retina and lead"
open wound of the hand,"Open wound of the hand is a common injury that occurs when the skin of the hand is cut or punctured. Common symptoms of an open wound of the hand include pain, bleeding, and swelling. The cause of the wound may be a cut, a puncture, or a burn. Treatment for an open"
neuralgia,"Neuralgia is a type of chronic pain involving the nervous system. It is characterized by the presence of paroxysmal shooting pain along the distribution of a nerve or group of nerves. The pain may be constant or intermittent, and can range from mild to severe. Some of the most common types of"
granuloma inguinale,"Granuloma inguinale is a sexually transmitted disease caused by the bacterium Calymmatobacterium granulomatis. It is also known as donovanosis, granuloma venereum, and granuloma inguinale. The disease is characterized by the formation of red or"
vitamin b12 deficiency,Vitamin B12 deficiency is a condition that occurs when your body does not have enough vitamin B12. It is also called cobalamin deficiency.
ear drum damage,"Ear Drum Damage is a condition that occurs when the eardrum, a thin layer of tissue that separates the outer ear from the middle ear, is damaged. It can be caused by a variety of factors, including exposure to loud noise, ear infections, and foreign objects entering the ear. Sym"
attention deficit hyperactivity disorder (adhd),"Attention deficit hyperactivity disorder (ADHD) is a developmental disorder that affects a person's ability to pay attention, control impulsive behaviors (may act without thinking about what the result will be), or be physically active. Because of these behaviors, children with ADHD may have difficulty in school,"
diabetic peripheral neuropathy,"Diabetic peripheral neuropathy is a condition that can develop in people who have diabetes. It occurs when high blood glucose levels (hyperglycemia) damage the nerves that send signals from the brain to other parts of the body. The condition can affect different areas of the body, including"
tic (movement) disorder,"Tic disorders are a group of neurological disorders that involve sudden, repetitive movements or sounds (tics) that can vary in frequency and intensity. They can be uncontrollable and can affect daily activities. Common types of tic disorders include Tourette syndrome, transient tic disorder,"
idiopathic infrequent menstruation,"Idiopathic infrequent menstruation is a condition characterized by irregular or infrequent menstrual periods. It can be caused by a variety of factors, including hormonal imbalances, polycystic ovarian syndrome, and other underlying medical conditions. Symptoms may include ir"
bone disorder,"Bone disorders or diseases are any abnormality in the structure or formation of bones. A bone disorder may result in increased bone fragility, which may lead to fracture or in pain due to inflammation. Bone disorders can be caused by autoimmune disorders, cancer, and infections. Treatment"
missed abortion,Missed abortion is a type of pregnancy complication where the fetus dies in the womb before 20 weeks gestation. It is also known as silent miscarriage because there are no signs or symptoms of the miscarriage until the fetus is expelled from the uterus. This condition is
schizophrenia,"Schizophrenia is a mental disorder that affects how a person thinks, feels, and behaves. It often causes hallucinations, delusions, and disorganized thinking. Symptoms usually start between the ages of 16 and 30. In most cases, the first episode of psych"
macular degeneration,"Macular degeneration is a condition that affects the macula, a small area in the center of the retina that allows for clear, central vision. It is a leading cause of vision loss in older adults. The macula is responsible for sharp, central vision, which is necessary for activities such as reading, driving"
preeclampsia,"Preeclampsia is a disorder of pregnancy, characterized by hypertension and protein in the urine, that can threaten the life of the mother and child. It is a hypertensive disorder of pregnancy that develops after 20 weeks of pregnancy. It affects about 5-10 percent"
meningioma,"Meningioma is a type of brain tumor that originates in the membranes surrounding the brain and spinal cord. The tumor can cause symptoms such as headaches, seizures, and vision problems, depending on its location and size. It is usually treated with surgery to remove the tumor, followed"
acute sinusitis,"Acute sinusitis is a common condition that affects the cavities around the nasal passages. It is characterized by inflammation of the sinuses, which can cause symptoms such as headache, facial pain, and a runny nose. Acute sinusitis is usually caused by a viral infection"
cervical disorder,"Cervical disorder refers to a condition involving the cervix, which is the lower part of the uterus that connects it to the vagina. Cervical disorders can include infections, abnormal growths or cancer, and other conditions that affect the cervix. Some common symptoms of c"
ankylosing spondylitis,Ankylosing Spondylitis
empyema,"Empyema is an infection or collection of pus in the pleural cavity. It is a serious condition that can lead to complications such as respiratory distress and sepsis if left untreated. Symptoms of empyema may include cough, shortness of breath, chest pain, fever"
diaper rash,"Diaper rash is a common skin condition that affects infants and toddlers. It occurs when the skin in the diaper area becomes irritated and inflamed due to prolonged exposure to moisture and friction from the diaper. Symptoms can include redness, inflammation, and a r"
tonsillitis,"Tonsillitis is an infection of the tonsils, which are small, oval-shaped glands located at the back of the throat. It is a common condition that affects people of all ages. The tonsils play an important role in the body's immune system by trapping bacteria and viruses before"
spondylolisthesis,"Spondylolisthesis is a condition in which a vertebra slips out of its normal position. It can happen to any of the vertebrae in the spine, but it is most common in the lower back. The vertebra may slip forward or backward. This can put pressure on the"
autonomic nervous system disorder,"Autonomic nervous system disorder is a condition that affects the autonomic nervous system, which is responsible for controlling various involuntary body functions such as heart rate, blood pressure, digestion, and temperature regulation. Symptoms of autonomic nervous system disorder can vary greatly from person to person and may include fain"
fracture of the hand,"Fracture of the hand is a break or crack in the bone of the hand. It can be caused by a sudden impact, such as falling on an outstretched hand, or by repeated stress, such as from using a hammer or typing on a keyboard. Symptoms of a hand fracture include pain"
thalassemia,Thalassemia is a group of genetic disorders that affect the body's ability to make hemoglobin. Hemoglobin is a protein found in red blood cells that carries oxygen to the body's tissues. Thalassemia is characterized by a reduced production of hemoglob
acute bronchiolitis,"Acute bronchiolitis is a viral infection of the lungs that causes inflammation of the small airways (bronchioles) in the lungs. It is a common respiratory illness in infants and young children, typically affecting those under the age of two years old."
parathyroid adenoma,"Parathyroid adenoma is a condition in which a benign tumor develops on one of the four parathyroid glands, which are small glands located behind the thyroid gland in the neck. These glands produce parathyroid hormone (PTH), which regulates"
irritable bowel syndrome,"Irritable bowel syndrome (IBS) is a common disorder that affects the large intestine (colon). It is characterized by recurrent abdominal pain, bloating, and changes in bowel habits. Symptoms can range from mild to severe and can have a significant impact on quality of life"
lewy body dementia,"Lewy body dementia is a brain disorder that causes problems with thinking, movement, behavior, and mood. It is characterized by the presence of Lewy bodies, which are abnormal deposits of a protein called alpha-synuclein in the brain. The exact cause of Lewy body dement"
fracture of the foot,"Fractures of the foot can occur due to a variety of reasons, such as falling from a significant height, twisting, or landing incorrectly. The symptoms include pain, tenderness, swelling, discoloration, and difficulty walking. Treatment options include rest, immobilization, pain relief, and"
open wound of the neck,"Open wounds of the neck are usually a result of an injury or trauma to the neck. The wound may be caused by a fall, a sports injury, or a car accident. Symptoms of an open wound of the neck may include bleeding, pain, and swelling. Treatment for an open wound of the"
injury to the hip,"Injury to the hip is a condition caused by trauma or damage to the hip joint. It can occur due to falls, accidents, sports injuries, or overuse of the hip joint. Symptoms may include pain, swelling, and limited range of motion in the hip joint. Treatment options may include"
cirrhosis,Cirrhosis is a chronic (long-term) liver disease that occurs when the liver is damaged and scar tissue replaces healthy liver tissue. The scar tissue forms because of inflammation or injury to the liver. Cirrhosis is a serious disease that can lead to liver failure.
kaposi sarcoma,"Kaposi sarcoma (KS) is a type of cancer that causes tumors to form in the skin and other organs. It is most commonly seen in people with weakened immune systems, such as those with HIV/AIDS. The tumors are purple, red, or brown and usually appear on"
dermatitis due to sun exposure,"Dermatitis due to sun exposure is a type of skin inflammation that is caused by overexposure to sunlight. It is also known as sunburn or a sun rash. The symptoms of dermatitis due to sun exposure can vary from person to person, but they often include redness"
fungal infection of the skin,"Fungal infections of the skin are caused by fungi that are commonly found in the environment and on the skin. They can occur when the skin is wet or when there is a break in the skin, such as a cut or scratch. The symptoms of a fungal infection of the skin can vary depending on"
chronic constipation,"Chronic constipation is a long-term problem of having difficulty with bowel movements. It can be caused by a variety of factors, including a lack of fiber in the diet, not drinking enough fluids, and certain medical conditions such as irritable bowel syndrome (IBS) or diabetes. Sympt"
allergy,"Allergy is the abnormal response of the immune system to a foreign substance (antigen). It is a common condition that affects people of all ages. Allergens can be found in the air, in food, in the environment, and in medications. Exposure to an allergen can cause a wide"
raynaud disease,"Raynaud disease is a condition that causes some areas of the body to feel numb and cool in response to cold temperatures or stress. It most often affects the fingers and toes, but it can also affect the nose, ears, nipples, and even the toes. It is a result of the blood vessels"
shingles (herpes zoster),"Shingles (also known as herpes zoster) is a viral infection that affects the nerves of the skin, resulting in a painful rash. It is caused by the reactivation of the chickenpox virus, which remains dormant in the body after a person has had chickenpox. The"
nose disorder,"Nose disorders are a common problem that can cause difficulty breathing, sneezing, and discharge from the nose. A number of factors can contribute to nose disorders, such as viral infections, allergies, and structural issues. Symptoms can vary from mild to severe, and treatment options may include medication"
placental abruption,"Placental abruption is a pregnancy complication in which the placenta prematurely separates from the inner wall of the uterus. This can occur anywhere from the start of labor to the end of pregnancy, but it is most common during the third trimester. The condition can lead to severe bleeding"
gout,"Description: Gout is a form of arthritis that causes pain and inflammation in the joints. It is caused by a build-up of uric acid crystals in the joints, which can cause swelling, redness, and pain. The most common symptom of gout is"
typhoid fever,"Typhoid fever is an infection caused by the bacteria Salmonella Typhi. Symptoms include high fever, headache, weakness, loss of appetite, abdominal pain, diarrhea, constipation, and a rash consisting of rose-colored spots that occur on the chest, back"
trigger finger (finger disorder),"Trigger finger is a condition where the finger gets stuck in a bent position and cannot be straightened. It is caused by inflammation of the tendon sheath that surrounds the tendon that moves the affected finger. Symptoms include pain, stiffness, and difficulty straightening the affected finger. Treatment"
meningitis,"Meningitis is an infection of the membranes that surround your brain and spinal cord. The most common symptoms include headache, fever, neck stiffness and sensitivity to light. Meningitis can be caused by a variety of bacteria, viruses and, in rare cases, fungi. The symptoms of men"
skin pigmentation disorder,"Hypopigmentation is a skin condition where areas of the skin are lighter in color than the surrounding skin. It can be caused by a variety of factors, including genetics, sun exposure, and medication use. Symptoms of hypopigmentation include lightening or loss of color in areas of"
ileus,"Ileus is a medical condition characterized by a blockage in the intestines that prevents food from passing through. It can lead to abdominal pain, nausea, and vomiting. Ileus can be caused by a variety of factors, including surgery, infection, and certain medications. Treatment"
conjunctivitis due to bacteria,"Conjunctivitis due to bacteria is a common eye infection that is usually caused by a bacterial or viral infection. It is characterized by inflammation of the conjunctiva, which is the thin, transparent layer of tissue that covers the white part of the eye and the inner surface of the eyel"
guillain barre syndrome,"Guillain-Barré syndrome is an autoimmune disorder that causes inflammation of the peripheral nervous system. Symptoms typically include muscle weakness and paralysis, which can, in severe cases, affect the muscles needed to breathe. The disorder can be triggered by a wide range of infections"
fibroadenoma,"Fibroadenoma is a noncancerous (benign) breast tumor. It is the most common type of breast tumor in young women. Fibroadenoma is most often seen in women in their 20s and 30s. It can occur in both breasts, but"
hemorrhoids,"Hemorrhoids are swollen veins in the rectum or anus. They can be either external or internal and are sometimes referred to as piles. External hemorrhoids are located under the skin around the anus, while internal hemorrhoids are inside the rectum. Hemorr"
hidradenitis suppurativa,"Hidradenitis suppurativa (HS) is a chronic skin condition that causes inflamed, painful, and scarring lumps under the skin. It typically occurs in areas where skin rubs together, such as the armpits, groin, breasts, and buttocks."
hyponatremia,"Hyponatremia is a condition where the sodium content of the blood is too low. This can cause symptoms such as headache, confusion, and nausea. It can be caused by a number of factors, including excessive fluid intake, diuretics, and certain medications. Treatment often"
pulmonary hypertension,"Pulmonary hypertension is high blood pressure that affects the arteries in your lungs and the right side of your heart. It can affect your ability to perform everyday activities and lead to serious health problems. Pulmonary hypertension may be caused by other medical conditions, heart defects you were born"
urinary tract obstruction,"Urinary tract obstruction (UTO) is a blockage that prevents the normal flow of urine. It can occur anywhere along the urinary tract, including the kidneys, ureters, bladder, and urethra. The most common cause of UTO is a blockage in"
edward syndrome,"Edward syndrome, also known as Trisomy 18, is a genetic disorder caused by the presence of an additional copy of chromosome 18 in each cell. It is one of the most common forms of a chromosomal condition that occurs in approximately 1 in 3,00"
neonatal jaundice,"Neonatal jaundice is a common condition that occurs in newborns within the first week of life. It is characterized by a yellowish discoloration of the skin and the whites of the eyes. Jaundice occurs when there is an excess of bilirubin, a yellow pigment"
scabies,"Scabies is a contagious skin disease caused by the mite Sarcoptes scabiei. Symptoms include intense itching, particularly at night, and a rash of tiny burrows and bumps on the skin. The mites are spread through close physical contact, such as hug"
male genitalia infection,"Male genitalia infection is an infection of any part of the male reproductive system, including the penis, testicles, scrotum, or urethra. It affects the male reproductive organs and can cause pain, itching, and discharge."
open wound from surgical incision,OPEN WOUND OF SURGICAL INCISION
oppositional disorder,"Oppositional defiant disorder (ODD) is a behavioral disorder characterized by recurrent negative, defiant, disobedient, and hostile behavior toward authority figures. Children with ODD often display temper tantrums, argumentative behavior, and intentional attempts to annoy or upset others. They may"
sprain or strain,"Sprains and strains are common injuries that occur when a ligament or muscle is stretched or torn. They can occur in any part of the body, but are most common in the ankles, knees, and wrists. Symptoms of a sprain or strain may include pain, swelling,"
vocal cord polyp,"Vocal cord polyp is a non-cancerous growth on the vocal cord. It can cause hoarseness, weakness, and other voice changes. The cause is usually unknown, but it may be related to vocal abuse or injury. Treatment includes voice rest, medication, and surgery."
iridocyclitis,"Iridocyclitis is an inflammation of the iris and the ciliary body of the eye. It can cause symptoms such as redness, pain, and blurred vision. The condition is usually caused by an infection or an autoimmune disorder. Treatment may include medications to reduce inflammation"
bladder cancer,"Bladder cancer is a type of cancer that begins in the bladder, a hollow organ in your lower abdomen that stores urine. Most bladder cancers are transitional cell carcinomas (TCCs), which begin in cells that line the inside of the bladder. T"
cushing syndrome,"Cushing syndrome is a hormonal disorder caused by excessive levels of cortisol in the body. Cortisol is a hormone produced by the adrenal glands and is important for regulating metabolism, immune function, and blood pressure. When cortisol levels are elevated, it can cause"
conductive hearing loss,"Conductive hearing loss is a type of hearing impairment that occurs when sound waves are not properly conducted through the ear from the outside environment to the inner ear. This can be caused by a variety of factors, including earwax buildup, fluid in the middle ear, a perforated eardrum"
urethral disorder,"Urethritis is an infection or inflammation of the urethra, the tube that carries urine out of the body. It is a common condition that can affect both men and women. The symptoms of urethritis can vary depending on the cause of the infection. In men,"
reactive arthritis,"Reactive arthritis, also known as Reiter's syndrome, is an arthritis that develops in response to an infection in another part of the body. It is a common form of arthritis that can occur after an infection of the urinary tract, respiratory system,"
peyronie disease,Peyronie disease is a condition that causes a penile deformity in the form of a hard lump (plaque) that can be painful and cause curvature of the penis. It is thought to be caused by scar tissue that forms on the tissue covering the penis (tunica albuginea
lichen simplex,"Lichen simplex is a skin condition that causes white, scaly patches to develop on the skin. It usually affects middle-aged individuals and is more common in women. The exact cause of lichen simplex is unknown, but it is thought to be related to a reaction to substances in skin creams or"
anxiety,"Anxiety is a mental health condition characterized by feelings of worry, fear, and unease. It can cause physical symptoms such as increased heart rate, sweating, and muscle tension. Anxiety can be triggered by specific situations or events, such as public speaking or taking a test. It can also be a"
hemolytic anemia,"Hemolytic anemia is a condition in which the red blood cells are destroyed faster than they can be replaced. This can lead to a shortage of red blood cells (anemia), which can cause fatigue, weakness, and shortness of breath. In severe cases, it can lead to"
esophageal cancer,"Esophageal cancer is a type of cancer that starts in the esophagus, the tube that connects the throat to the stomach. The esophagus is made up of layers of tissue that allow food and liquid to pass from the mouth to the stomach."
acute bronchitis,"Acute bronchitis, also known as chest cold, is a contagious respiratory infection of the bronchial tubes. It is a common and self-limited illness that usually resolves within a week or two. It is characterized by a cough with sputum production, sore throat, and"
pericarditis,"Pericarditis is a condition where the thin sac known as the pericardium that surrounds the heart becomes inflamed. It can be acute or chronic, and the symptoms can vary depending on the severity and duration of the condition. Acute pericarditis typically has a sudden onset and"
polycystic kidney disease,Polycystic kidney disease (PKD) is a condition marked by the growth of numerous cysts in the kidneys. These cysts can cause the kidneys to enlarge and may lead to kidney failure. Symptoms of PKD can vary widely but may include blood in the ur
interstitial lung disease,Interstitial lung disease (ILD) is a broad term for many conditions that inflame and scar the lungs. ILD can make it difficult for you to breathe and prevent your lungs from delivering oxygen to your bloodstream.
pseudohypoparathyroidism,"Pseudohypoparathyroidism is a rare endocrine disorder where the parathyroid glands sit in the wrong place or have lost their ability to function. This affects the production of parathyroid hormone, which in turn affects the way the body controls calcium levels. It"
leukemia,Chronic myeloid leukemia (CML) is a type of cancer in which the bone marrow makes too many white blood cells. White blood cells help the body fight infection. CML is also called chronic myelogenous leukemia. CML happens when a gene called the Philadelphia
foreign body in the nose,"A foreign body is an object that is not supposed to be in the nose. This can be a toy, bead, small object, or other similar item. The object can cause irritation and inflammation of the nose, leading to symptoms such as sneezing, difficulty breathing, and pain or discomfort"
moyamoya disease,"Moyamoya disease is a rare condition that causes narrowing of the blood vessels to the brain in children. The narrowing of the blood vessels can lead to a decrease in blood flow to the brain, which can cause a stroke, seizures, or other neurological problems. The exact cause of Moy"
cryptococcosis,"Cryptococcosis is a fungal infection caused by the Cryptococcus neoformans fungus. It can cause a range of symptoms, including fever, headache, and confusion. It is a rare but serious illness that can affect people with weakened immune systems, such as those"
tendinitis,"Tendinitis is a condition that involves inflammation of the tendons. The tendons are tough, fibrous cords that connect muscles to bones. Tendinitis can occur in any tendon, but it is most common in the shoulder, elbow, wrist, hip, knee, and ankle"
problem during pregnancy,Gestational diabetes mellitus (GDM) is a condition in which women without a prior history of diabetes develop high blood sugar levels during pregnancy. It usually occurs in the second or third trimester of the pregnancy.
lactose intolerance,"Lactose intolerance is a condition where the body has difficulty digesting lactose, a sugar found in milk and other dairy products. It occurs when the body lacks the enzyme lactase, which is needed to break down lactose in the small intestine. Sympt"
bell palsy,"Bell's palsy is a condition that causes sudden weakness or paralysis on one side of the face. It is thought to be caused by swelling of the nerve that controls facial muscles. Symptoms may include drooping of the face, difficulty with eating, drinking, and talking, and loss"
abscess of the pharynx,"Abscess of the pharynx is an infection of the pharynx, which is the upper part of the throat. It is characterized by the formation of a pocket of pus, known as an abscess, on the pharynx. The abscess can cause swelling, pain, and"
breast cyst,"A breast cyst is a fluid-filled sac that develops in the breast. They are non-cancerous (benign) and are common in women of all ages, but are most often found in women between the ages of 30 and 50."
intestinal obstruction,"Intestinal obstruction, also known as bowel obstruction, is a condition in which the intestines are blocked, preventing food and liquid from passing through. This can be caused by a variety of factors, including tumors, scar tissue, and intestinal hernias. Symptoms of int"
kidney stone,Kidney stones are hard deposits of minerals and salts that form in the kidneys. They can vary in size from as small as a grain of sand to as large as a golf ball. Kidney stones can cause excruciating pain as they pass through the urinary tract. The pain can
vaginismus,"Vaginismus is a condition that causes the muscles of the vaginal wall to tighten involuntarily, making it difficult or impossible to insert a tampon or have sexual intercourse. Women with vaginismus may experience anxiety, pain, and even fainting during attempted penetration. It is often caused"
volvulus,"Volvulus is a condition in which a portion of the intestine twists around itself, blocking the flow of food and waste through the intestine. The twisting can occur in any part of the intestine, but is most common in the sigmoid colon. Symptoms of volv"
rotator cuff injury,"An injury to the rotator cuff is a tear in one or more of the tendons of the rotator cuff. It can be caused by a sudden injury, or it can develop slowly over time. The rotator cuff is a group of four muscles and tendons that surround the shoulder joint, providing"
ischemic heart disease,"Ischemic heart disease, also known as coronary heart disease, is a condition in which the heart muscle doesn't receive enough blood. It is caused by a buildup of plaque in the coronary arteries, which reduces blood flow to the heart muscle. Symptoms of ischemic heart"
pyelonephritis,"Pyelonephritis is an infection of the kidneys and renal pelvis (the area that collects urine from the kidneys). It is a type of urinary tract infection (UTI) that can cause fever, chills, pain in the side and back, and frequent urination."
injury to the hand,"Injury to the hand can be caused by a variety of factors, including falls, cuts, lacerations, and fractures. Symptoms may include pain, swelling, bruising, numbness, and difficulty moving the hand or fingers. Treatment depends on the severity of the injury and"
hypertension of pregnancy,"Hypertension of pregnancy, also known as gestational hypertension or pregnancy-induced hypertension, is a type of high blood pressure that occurs during pregnancy. It is characterized by high blood pressure and can lead to complications for both the mother and the baby. Hypertension of pregnancy can be classified"
